method,seed,learning_rate,weight_decay,strength,epochs,train_nll,validation_nll,validation_nll_auc,test_nll,test_accuracy,test_brier,corrupted_accuracy,boundary_ratio,balance_ratio,path_diamond_ratio,wall_seconds,candidate_index
matched_spectrum_penalty,2,0.15,0.0001,0.0003,70,0.128369568819973,0.18629179231774393,0.6048805832939403,0.16575516521835823,0.9611111111111111,0.07158875823535192,0.9333333333333333,1.0420360454770068,0.05613891451832205,0.11806150654517188,0.18710250499862013,0
matched_spectrum_penalty,0,0.15,0.0001,0.003,70,0.11617250388856125,0.18068327143871202,0.5240132118403479,0.14664214074175136,0.9638888888888889,0.05931589648969629,0.9444444444444444,1.0762697640734527,0.05142204629472791,0.10796345289577663,0.1763942279976618,1
matched_spectrum_penalty,1,0.15,0.0001,0.003,70,0.13779014012239432,0.18250813566437257,0.617233554341052,0.17148954449460735,0.9583333333333334,0.06933158825919403,0.925,1.043296177815931,0.050112549912928864,0.12140979288726428,0.17749895099768764,1
matched_spectrum_penalty,2,0.15,0.0001,0.003,70,0.13430430515095265,0.191445179866372,0.6103508634261043,0.17054209320723587,0.9611111111111111,0.07261349350076507,0.9361111111111111,1.0424365402501024,0.055619174540681514,0.11882442655400359,0.18847716600066633,1
matched_spectrum_penalty,0,0.3,0.0001,0.0003,70,0.05042427401819694,0.15576966508291987,0.3969708509834321,0.11637512157687269,0.975,0.042576466890905766,0.95,1.0678971295423123,0.058710692745809596,0.11000865709121437,0.19356566699934774,2
matched_spectrum_penalty,1,0.3,0.0001,0.0003,70,0.06762872174993755,0.1524575380894268,0.45730142355187736,0.1383550414060967,0.9638888888888889,0.05139284658834862,0.9416666666666667,1.0351704944922366,0.054593800233423424,0.12495942641712954,0.20021145299688214,2
matched_spectrum_penalty,2,0.3,0.0001,0.0003,70,0.061772665247139376,0.15376893096293553,0.46090926149571465,0.13087926710451853,0.9694444444444444,0.05222737931552223,0.9472222222222222,1.0333594382430262,0.05855042749231118,0.12381588434218657,0.20070942000165815,2
matched_spectrum_penalty,0,0.3,0.0001,0.003,70,0.05987580757600524,0.1488781484216584,0.3941500336528999,0.11452119040642379,0.9777777777777777,0.0425377753036451,0.9583333333333334,1.066438700024418,0.05727524587031686,0.11062736442339145,0.1832023470014974,3
matched_spectrum_penalty,1,0.3,0.0001,0.003,70,0.07591181106365402,0.14646367156636705,0.45541790253860215,0.1328516820893226,0.9666666666666667,0.05158110677507816,0.9416666666666667,1.0248038478977102,0.05439550753896885,0.12587105026395523,0.1884501150016149,3
matched_spectrum_penalty,2,0.3,0.0001,0.003,70,0.07004958170626811,0.15165058101145446,0.4624029327506669,0.13029723362602866,0.9722222222222222,0.05171800526090903,0.9444444444444444,1.0346573326900221,0.059402430662111594,0.12396734666358171,0.18555836999803432,3
matched_spectrum_penalty,0,0.45,0.0001,0.0003,70,0.03005686538271671,0.1505641438070223,0.3505406033711834,0.11464133623221437,0.9722222222222222,0.040379927588325475,0.9555555555555556,1.0623303598325153,0.06420802025978843,0.11106500188576501,0.2043139939996763,4
matched_spectrum_penalty,1,0.45,0.0001,0.0003,70,0.04270929621672104,0.15614695658068864,0.40294498028734416,0.13912220384713408,0.9694444444444444,0.05042892890600399,0.9416666666666667,1.025744870507237,0.05945195112769222,0.1275122087139895,0.1900006370015035,4
matched_spectrum_penalty,2,0.45,0.0001,0.0003,70,0.03487538519910645,0.14241441764060234,0.39944861694506195,0.13384501766429355,0.9666666666666667,0.0521900037554099,0.9444444444444444,1.0305459271931374,0.06305460946870133,0.1265843031209842,0.19398088799789548,4
matched_spectrum_penalty,0,0.45,0.0001,0.003,70,0.04147318582184126,0.1340856345249371,0.34146768601336847,0.10695998422965973,0.9805555555555555,0.03893997958052534,0.9611111111111111,1.0602441577366817,0.06344549315079968,0.11137820397514661,0.18785113299963996,5
matched_spectrum_penalty,1,0.45,0.0001,0.003,70,0.05334358918912167,0.13753340022369795,0.3945018705984252,0.12085011281957893,0.9666666666666667,0.04776164451258773,0.9444444444444444,1.0113335721539205,0.060506031474471506,0.12741005494544852,0.20241582299786387,5
matched_spectrum_penalty,2,0.45,0.0001,0.003,70,0.04737929752938967,0.1377904730259488,0.3973552318745158,0.12661089895544791,0.9666666666666667,0.04972829008661225,0.9416666666666667,1.0328037512574828,0.0652710460046607,0.1257938331513,0.19785889400009182,5
dstm_sobolev,0,0.15,0.0001,0.5,70,0.12839381819060453,0.19304061546042808,0.5524968837177363,0.1574399834046048,0.9583333333333334,0.0652006924064901,0.9444444444444444,0.9999088887342064,0.05440135372623001,0.1068023505553784,0.29541289700136986,0
dstm_sobolev,1,0.15,0.0001,0.5,70,0.14989399177770496,0.19260375169028043,0.6506679379125,0.18052599829524446,0.9611111111111111,0.07394346236643022,0.925,0.9715292767799799,0.05695595499258902,0.11794569595352494,0.30361486400215654,0
dstm_sobolev,2,0.15,0.0001,0.5,70,0.1472269768935904,0.19448370737033926,0.6511814735659547,0.1827229425582692,0.9583333333333334,0.08091194466950755,0.9166666666666666,0.9674940495188529,0.05819350928833884,0.11603067195479741,0.3470430650013441,0
dstm_sobolev,0,0.15,0.0001,2.0,70,0.16229553887172185,0.21230287794895583,0.6012279270944463,0.18254972518429233,0.9555555555555556,0.07689663911054999,0.9333333333333333,0.8815374734428234,0.059837975087562646,0.1056512067610664,0.2932132870009809,1
dstm_sobolev,1,0.15,0.0001,2.0,70,0.18532949320033554,0.21696703554364,0.7137157398894286,0.21590109362277257,0.9472222222222222,0.09331260972072014,0.9083333333333333,0.8576353827603731,0.06955598256704396,0.11343892607153125,0.29639096800019615,1
dstm_sobolev,2,0.15,0.0001,2.0,70,0.19372531977883314,0.23259726436910735,0.7386922716138199,0.23090420286466976,0.9305555555555556,0.10833159036474334,0.9055555555555556,0.8501319765230388,0.06591321622225108,0.11222365248498307,0.3052206050015229,1
dstm_sobolev,0,0.3,0.0001,0.5,70,0.060512828877649236,0.16350516620572955,0.41606737714218256,0.12231926387852171,0.9722222222222222,0.04601203105147083,0.9527777777777777,0.9763570832297122,0.059447715408509134,0.10959759656002874,0.2973966899990046,2
dstm_sobolev,1,0.3,0.0001,0.5,70,0.07769051348554479,0.16034840009818183,0.4787241764840224,0.14141365217682147,0.9666666666666667,0.05307998957449695,0.9361111111111111,0.9442429661526174,0.060189584602929606,0.12253181990261523,0.2928573620010866,2
dstm_sobolev,2,0.3,0.0001,0.5,70,0.07640306480752879,0.15190560101386355,0.48576676416743214,0.1351110730802386,0.9666666666666667,0.054586762753603045,0.9333333333333333,0.9449532088431459,0.06102518890552963,0.12281630158436384,0.319126573001995,2
dstm_sobolev,0,0.3,0.0001,2.0,70,0.08264150824842328,0.17283324682285206,0.44748522778615185,0.13289813287147303,0.9694444444444444,0.051991533847855285,0.95,0.8318300288630326,0.06473708368144741,0.10843013726423924,0.3166704409995873,3
dstm_sobolev,1,0.3,0.0001,2.0,70,0.09815873595130506,0.1652318052825795,0.5180409222670068,0.14899954558243433,0.9666666666666667,0.058861402646427745,0.925,0.8015063175418108,0.0735436165642363,0.11809849030344244,0.3070286460024363,3
dstm_sobolev,2,0.3,0.0001,2.0,70,0.10498163650255429,0.1644210370643921,0.5404237015822215,0.15039230284301983,0.9638888888888889,0.06547087093695951,0.9194444444444444,0.809752395686375,0.06932460152800524,0.1181778438108687,0.31436464299986255,3
dstm_sobolev,0,0.45,0.0001,0.5,70,0.036873700758025416,0.1595464311516261,0.36455608405015083,0.11696469509481208,0.9694444444444444,0.041918086697580806,0.9527777777777777,0.9617574503650873,0.06424156700293912,0.11088538558702944,0.3623135710004135,4
dstm_sobolev,1,0.45,0.0001,0.5,70,0.05087716621759231,0.164347762063521,0.42065545556561573,0.142142862245827,0.9694444444444444,0.05019986102954514,0.9416666666666667,0.9272178738343325,0.06492972809797774,0.12518840205528725,0.4963133819983341,4
dstm_sobolev,2,0.45,0.0001,0.5,70,0.044200247412295536,0.14223960140886327,0.41388853338091963,0.1296359945239513,0.9694444444444444,0.05002114793448279,0.9416666666666667,0.9398035945760465,0.06594120302010147,0.12507751090514835,0.4624126319977222,4
dstm_sobolev,0,0.45,0.0001,2.0,70,0.05047500552188495,0.16539978660141186,0.38822591727086797,0.12311991387214032,0.9638888888888889,0.0460886781739365,0.9527777777777777,0.8037429873396078,0.0688931564009519,0.10986761271265535,0.3176223990012659,5
dstm_sobolev,1,0.45,0.0001,2.0,70,0.06968026181128896,0.1640084282146527,0.44935574698648284,0.14326767870840157,0.9583333333333334,0.05510629430893548,0.9305555555555556,0.7714573282031746,0.07972069656596802,0.1207456828684751,0.3182751610002015,5
dstm_sobolev,2,0.45,0.0001,2.0,70,0.06793577501566136,0.14953598227707043,0.4566942735364225,0.12454341264567563,0.9694444444444444,0.050934854703905574,0.925,0.7915068314520324,0.07605575085652881,0.11956616910020221,0.33883361100015463,5
matched_spectrum_sobolev,0,0.15,0.0001,0.5,70,0.12333596135502331,0.19145406267084725,0.5605927862930545,0.14972598252483293,0.9583333333333334,0.06051054097816569,0.9416666666666667,1.0813941208903763,0.05188480737252692,0.10640525082890002,0.2870459169971582,0
matched_spectrum_sobolev,1,0.15,0.0001,0.5,70,0.15172351239611945,0.19529094704203587,0.6602605001028786,0.17933092662276995,0.9611111111111111,0.07459982267496088,0.9222222222222223,1.0404043757732826,0.05331473246555048,0.11792101559634349,0.29932244200244895,0
matched_spectrum_sobolev,2,0.15,0.0001,0.5,70,0.15062245355359466,0.2012410796903693,0.6563527298342138,0.1881514362937304,0.9611111111111111,0.08258141712017096,0.9305555555555556,1.0468073959513344,0.05838903445923802,0.1157682560723447,0.33266016700144974,0
matched_spectrum_sobolev,0,0.15,0.0001,2.0,70,0.14789663557851973,0.21127220917748576,0.6238958056858973,0.16577607220045026,0.9527777777777777,0.06802537437999373,0.9416666666666667,1.0832074776074214,0.05451759619063875,0.10416475827640735,0.30792358799953945,1
