seed,epoch,observer,component,base_loss,shadow_loss,loss_improvement,improvement_per_delta_norm,base_validation_loss,shadow_validation_loss,validation_loss_improvement,validation_improvement_per_delta_norm,component_norm,delta_norm
4111,20,dstm,visible,0.6334765089923879,0.6333764504653172,0.00010005852707073437,0.050730715541001184,0.6768393196384844,0.6767545712474505,8.474839103389531e-05,0.042968317083647865,0.05080229640618838,0.0019723460630052783
4111,20,dstm,null,0.6334765089923879,0.6333194958633152,0.00015701312907279164,0.07960729205581173,0.6768393196384844,0.6766999469978345,0.00013937264064989296,0.07066338066329488,0.07968307599625866,0.0019723460630052783
4111,20,random_00,visible,0.6334765089923879,0.6333598957165044,0.00011661327588352588,0.05912414564097406,0.6768393196384844,0.676746157569281,9.316206920340075e-05,0.04723413956141602,0.059194328386687665,0.0019723460630052783
4111,20,random_00,null,0.6334765089923879,0.6333313660526453,0.00014514293974265957,0.07358898241290587,0.6768393196384844,0.6767049928455439,0.0001343267929405645,0.06810508331174386,0.07366340616083904,0.0019723460630052783
4111,20,random_01,visible,0.6334765089923879,0.6333491013010175,0.00012740769137042918,0.06459702673895733,0.6768393196384844,0.6767312176070395,0.00010810203144495656,0.0548088560484364,0.064674619743198,0.0019723460630052783
4111,20,random_01,null,0.6334765089923879,0.6333407685237803,0.000135740468607648,0.06882183160130592,0.6768393196384844,0.6767171533322413,0.0001221663062431766,0.061939589879592874,0.06890181043659518,0.0019723460630052783
4111,20,random_02,visible,0.6334765089923879,0.6333405952761887,0.00013591371619925408,0.06890966993498156,0.6768393196384844,0.6767283217795865,0.00011099785889789882,0.056277070733099725,0.06897973411153399,0.0019723460630052783
4111,20,random_02,null,0.6334765089923879,0.6333492534211133,0.000127255571274687,0.06451990026577119,0.6768393196384844,0.6767192683197645,0.00012005131871994923,0.06086726917335498,0.06459150255466914,0.0019723460630052783
4111,20,random_03,visible,0.6334765089923879,0.6333550507897798,0.00012145820260811568,0.061580573960255694,0.6768393196384844,0.6767297052863093,0.00010961435217515803,0.05557561841259126,0.061661658613201054,0.0019723460630052783
4111,20,random_03,null,0.6334765089923879,0.63333543332145,0.00014107567093790685,0.07152683475989442,0.6768393196384844,0.676718544622469,0.0001207750160153731,0.06123419124093635,0.07161079372159482,0.0019723460630052783
4111,20,random_04,visible,0.6334765089923879,0.6333413988476242,0.00013511014476375038,0.06850225084632565,0.6768393196384844,0.6767237176329262,0.0001156020055582685,0.058611421051600276,0.06857355026283656,0.0019723460630052783
4111,20,random_04,null,0.6334765089923879,0.6333484289195574,0.00012808007283049427,0.06493793114345142,0.6768393196384844,0.6767242836909004,0.00011503594758399682,0.05832442376198206,0.06502256627293317,0.0019723460630052783
4111,20,random_05,visible,0.6334765089923879,0.633347962454197,0.00012854653819094342,0.06517443394039893,0.6768393196384844,0.6767232876895996,0.000116031948884876,0.05882940679693768,0.06524357509575963,0.0019723460630052783
4111,20,random_05,null,0.6334765089923879,0.6333418517901379,0.00013465720225003253,0.06827260427353928,0.6768393196384844,0.6767246613333453,0.0001146583051391259,0.05813295510850676,0.06836330762252313,0.0019723460630052783
4111,20,random_06,visible,0.6334765089923879,0.6333452138409758,0.00013129515141219184,0.06656800947605332,0.6768393196384844,0.6767244301542016,0.00011488948428284296,0.05825016534257938,0.06664724220618742,0.0019723460630052783
4111,20,random_06,null,0.6334765089923879,0.6333445294638693,0.00013197952851862205,0.06691499579821396,0.6768393196384844,0.6767236014748251,0.00011571816365929521,0.058670314418847264,0.066995604532518,0.0019723460630052783
4111,20,random_07,visible,0.6334765089923879,0.6333667817827469,0.00010972720964108618,0.055632838323460346,0.6768393196384844,0.6767485568590593,9.076277942510202e-05,0.046017674650261985,0.05569616783090325,0.0019723460630052783
4111,20,random_07,null,0.6334765089923879,0.6333260798622168,0.0001504291301711591,0.07626913602674225,0.6768393196384844,0.6767036614323707,0.00013565820611372015,0.0687801236599508,0.07634266703043334,0.0019723460630052783
4111,20,random_08,visible,0.6334765089923879,0.6333509507121577,0.000125558280230198,0.06365935602542483,0.6768393196384844,0.676731160330403,0.00010815930808139029,0.05483789589976272,0.06373451196676706,0.0019723460630052783
4111,20,random_08,null,0.6334765089923879,0.6333390459049177,0.00013746308747020208,0.0696952173092528,0.6768393196384844,0.6767172442113801,0.00012207542710429564,0.06189351320948638,0.06977232907625905,0.0019723460630052783
4111,20,random_09,visible,0.6334765089923879,0.6333569142711981,0.00011959472118983072,0.06063576946917893,0.6768393196384844,0.6767486816847211,9.063795376329509e-05,0.04595438673940889,0.06072114871272713,0.0019723460630052783
4111,20,random_09,null,0.6334765089923879,0.6333338498927141,0.00014265909967381418,0.07232964962367884,0.6768393196384844,0.6767025100776972,0.00013680956078720996,0.06936387247314613,0.07240999944327187,0.0019723460630052783
4111,20,random_10,visible,0.6334765089923879,0.6333522584706784,0.00012425052170950135,0.06299630883242666,0.6768393196384844,0.676726418764095,0.00011290087438942109,0.0572419194111368,0.06307263568480709,0.0019723460630052783
4111,20,random_10,null,0.6334765089923879,0.6333378641580921,0.0001386448342958202,0.0702943752601742,0.6768393196384844,0.6767215359272454,0.00011778371123905007,0.059717568558725516,0.07037121960105108,0.0019723460630052783
4111,20,random_11,visible,0.6334765089923879,0.633338616982235,0.00013789201015290686,0.06991268557749941,0.6768393196384844,0.6767172353711695,0.00012208426731497024,0.06189799528838744,0.06998352839426308,0.0019723460630052783
4111,20,random_11,null,0.6334765089923879,0.6333514077984206,0.00012510119396735853,0.06342760852866809,0.6768393196384844,0.6767311784775024,0.00010814116098201154,0.05482869513133819,0.06350253281450378,0.0019723460630052783
4111,20,random_12,visible,0.6334765089923879,0.6333638762286565,0.00011263276373141284,0.05710598451460058,0.6768393196384844,0.6767322959301557,0.00010702370832871289,0.05426213499553931,0.05718511888497359,0.0019723460630052783
4111,20,random_12,null,0.6334765089923879,0.633328258593425,0.00014825039896293468,0.07516449660818875,0.6768393196384844,0.6767158229348837,0.00012349670360067844,0.06261411519868151,0.07523382283573787,0.0019723460630052783
4111,20,random_13,visible,0.6334765089923879,0.6333630497210212,0.00011345927136674483,0.057525032495497314,0.6768393196384844,0.6767344978265649,0.00010482181191950879,0.05314575057877572,0.05760974216826047,0.0019723460630052783
4111,20,random_13,null,0.6334765089923879,0.633328909416971,0.0001475995754169901,0.07483452229072393,0.6768393196384844,0.6767142277921897,0.00012509184629472259,0.06342286916126635,0.07490916851543812,0.0019723460630052783
4111,20,random_14,visible,0.6334765089923879,0.6333586375347454,0.0001178714576425266,0.05976205689934807,0.6768393196384844,0.6767324695006955,0.00010685013778888308,0.05417413292375007,0.05984422148645782,0.0019723460630052783
